日付,チャネル,商品名,売上額,注文点数
2026/03/14,Amazon,日本食品 純製ラード 15kg 一斗缶,23940,3
2026/03/14,Amazon,ヘット 牛脂 15kg 日本食品 一斗缶,7500,1
2026/03/14,Amazon,ライオンラベルラード 調製ラード 清水商事 15kg ラード 業務用 一斗缶,7500,1
2026/03/14,Amazon,GSブラックティー1000ｍｌ 加糖 ３本,6280,2
2026/03/14,Amazon,讃岐物産 うどん県のうどん 300g×5袋,4500,3
2026/03/14,Amazon,鎌田醤油 だし醤油 500ml 2本,1800,1
2026/03/14,Amazon,ライオンラベルラード 10g×10袋パック 小袋ラード,324,1
