（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B015U3ABVE,GSブラックティー1000ｍｌ　加糖　３本,14,3,1.42%,15.00%,31.25%,0.00%,4,0,28.57%,0.00%,"￥12,560",￥0,4,0
B0DSHDG1DB,日本食品 純製ラード 15kg 一斗缶,7,0,0.71%,0.00%,100.00%,0.00%,2,0,28.57%,0.00%,"￥15,960",￥0,2,0
B019I0592Q,讃岐物産 うどん県のうどん 300g×5袋,29,0,2.94%,0.00%,50.00%,0.00%,2,0,6.90%,0.00%,"￥3,000",￥0,1,0
B0GN998VR5,ライオンラベルラード 10g×10袋パック 小袋ラード,2,0,0.20%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,￥324,￥0,1,0
B002QEL0AW,かどや製油 銀印（濃口） 純正ごま油 1650g 業務用 大容量,55,1,5.58%,5.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B002XCR0C4,創味 シャンタン 1kg,5,0,0.51%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0033VCFXI,ハイミー 1KG,17,0,1.73%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q45TMG,業務用　ニイタカ　薬用ハンドソープ　５ｋｇ,2,1,0.20%,5.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q4BC1I,ジェリフ ゼリエース ゼラチンパウダー緑 1kg,31,1,3.15%,5.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003WJM2WA,業務用 ブリーチS 5.5kg,1,0,0.10%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004KJZOL2,ジェリフ ゼリエース ゼラチンパウダー緑 450g,25,0,2.54%,0.00%,3.45%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004MDWGMQ,雪印メグミルク 北海道コンデンスミルク(大容量) 480g,24,1,2.44%,5.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0054NT4QE,スプーン印 グラニュ糖 1kg×20袋,3,0,0.30%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0058QIAP8,ダイショー ガツンと辛旨だれ 2.1kg,3,1,0.30%,5.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0058QIIKU,ダイショー 新カラフルトッピングスパイスNT 500g,4,0,0.41%,0.00%,14.29%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B005WFNT4C,カゴメ トマトペースト 850g 業務用 大容量 レストラン用,13,0,1.32%,0.00%,6.67%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0076JRLWS,理研農産化工 大豆白絞油 16.5kg 缶,1,0,0.10%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0076JROJ8,理研 キャノーラサラダ油 16.5kg 缶,28,1,2.84%,5.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
