（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B015U3ABVE,GSブラックティー1000ｍｌ　加糖　３本,13,1,1.33%,3.03%,43.75%,0.00%,5,1,38.46%,100.00%,"￥15,700","￥3,140",5,1
B097F98JNZ,ジーエスフード　サラダスパイス 130g,4,0,0.41%,0.00%,50.00%,0.00%,3,0,75.00%,0.00%,"￥2,940",￥0,2,0
B0DSHDG1DB,日本食品 純製ラード 15kg 一斗缶,5,0,0.51%,0.00%,100.00%,0.00%,3,0,60.00%,0.00%,"￥23,940",￥0,2,0
B003WJM2WA,業務用 ブリーチS 5.5kg,2,0,0.21%,0.00%,100.00%,0.00%,1,1,50.00%,0.00%,"￥1,518","￥1,518",1,1
B005WFNT4C,カゴメ トマトペースト 850g 業務用 大容量 レストラン用,10,1,1.03%,3.03%,0.00%,0.00%,1,0,10.00%,0.00%,"￥1,570",￥0,1,0
B019I0592Q,讃岐物産 うどん県のうどん 300g×5袋,16,0,1.64%,0.00%,40.00%,0.00%,1,0,6.25%,0.00%,"￥1,500",￥0,1,0
B0DPLQR647,ダイショー 厨房王 ハニーマスタードソース,0,0,0.00%,0.00%,0.00%,0.00%,1,0,0.00%,0.00%,"￥1,500",￥0,1,0
B0F4327ZR6,九鬼産業 製菓用 黒ごまパウダーミックス １ｋｇ,11,0,1.13%,0.00%,7.14%,0.00%,1,0,9.09%,0.00%,"￥3,200",￥0,1,0
B002QEL0AW,かどや製油 銀印（濃口） 純正ごま油 1650g 業務用 大容量,52,1,5.33%,3.03%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B002XCR0C4,創味 シャンタン 1kg,2,0,0.21%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0033VCFXI,ハイミー 1KG,12,0,1.23%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q45TMG,業務用　ニイタカ　薬用ハンドソープ　５ｋｇ,2,0,0.21%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q4BC1I,ジェリフ ゼリエース ゼラチンパウダー緑 1kg,47,0,4.82%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004KJZOL2,ジェリフ ゼリエース ゼラチンパウダー緑 450g,22,0,2.26%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
