（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B09GFHK4P9,ダイショー 博多 水炊き スープ はかた地どり使用 3～4人前 750g×5袋,4,0,0.41%,0.00%,62.50%,0.00%,2,0,50.00%,0.00%,"￥3,600",￥0,2,0
B0DNYFZB8J,キャノーラ油 昭和産業 キャノーラサラダ油BOX 8kg サラダ油 バックインザボックス 業務用 家庭用 揚げ油 なたね油 菜種油 天ぷら油 食用油,5,0,0.52%,0.00%,100.00%,0.00%,1,0,20.00%,0.00%,"￥3,700",￥0,1,0
B0DQS9LHN2,ヘット 牛脂 15kg 日本食品 一斗缶 業務用 国産牛100%,6,0,0.62%,0.00%,87.50%,0.00%,2,0,33.33%,0.00%,"￥15,000",￥0,1,0
B0FRF7DGTQ,ジーエスフード フルーツメモリー 500g×3本 大阪ミックスジュースの素 希釈用 常温保存 GSフード,2,0,0.21%,0.00%,100.00%,0.00%,1,0,50.00%,0.00%,"￥3,000",￥0,1,0
B0GHQ6YW6Q,GS ピラフベース 300g ×3本入,1,1,0.10%,5.56%,100.00%,100.00%,1,1,100.00%,100.00%,"￥2,772","￥2,772",1,1
B001E758NM,ニイタカ 泡ブリーチ 業務用 塩素系除菌・漂白剤 18kg,1,0,0.10%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B002QEL0AW,かどや製油 銀印（濃口） 純正ごま油 1650g 業務用 大容量,46,0,4.74%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0033VCFXI,ハイミー 1KG,8,0,0.82%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q45TMG,業務用　ニイタカ　薬用ハンドソープ　５ｋｇ,3,1,0.31%,5.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q4BC1I,ジェリフ ゼリエース ゼラチンパウダー緑 1kg,62,2,6.39%,11.11%,3.61%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
