（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B0058QIIKU,ダイショー 新カラフルトッピングスパイスNT 500g,2,0,0.21%,0.00%,0.00%,0.00%,1,0,50.00%,0.00%,"￥3,000",￥0,1,0
B015U3ABVE,GSブラックティー1000ｍｌ　加糖　３本,14,1,1.45%,2.56%,56.25%,0.00%,1,0,7.14%,0.00%,"￥3,140",￥0,1,0
B01MRBT4T5,昭和 サラダ油 BOX 8kg,0,0,0.00%,0.00%,0.00%,0.00%,1,1,0.00%,0.00%,"￥4,455","￥4,455",1,1
B088TG28XH,ヤギミルク 大人のための粉ミルク ユキちゃんのミルク 120g,13,0,1.34%,0.00%,52.63%,0.00%,1,0,7.69%,0.00%,"￥1,800",￥0,1,0
B0DQYK2T8W,ライオンラベルラード 清水商事 15kg ラード 業務用 一斗缶,2,0,0.21%,0.00%,100.00%,0.00%,1,1,50.00%,0.00%,"￥7,500","￥7,500",1,1
B0GHQBVBRV,GS カレーピラフベース 300g ×2本入,1,0,0.10%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,"￥2,400",￥0,1,0
B0GN998VR5,ライオンラベルラード 10g×10袋パック 小袋ラード,9,0,0.93%,0.00%,100.00%,0.00%,1,0,11.11%,0.00%,￥324,￥0,1,0
B002QEL0AW,かどや製油 銀印（濃口） 純正ごま油 1650g 業務用 大容量,47,5,4.86%,12.82%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B002XCR0C4,創味 シャンタン 1kg,2,0,0.21%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0033VCFXI,ハイミー 1KG,18,1,1.86%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q4BC1I,ジェリフ ゼリエース ゼラチンパウダー緑 1kg,39,1,4.03%,2.56%,7.55%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003WJM2WA,業務用 ブリーチS 5.5kg,2,0,0.21%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004KJZOL2,ジェリフ ゼリエース ゼラチンパウダー緑 450g,22,0,2.27%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004MDWGMQ,雪印メグミルク 北海道コンデンスミルク(大容量) 480g,20,0,2.07%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0054NT4QE,スプーン印 グラニュ糖 1kg×20袋,5,1,0.52%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0058QIAP8,ダイショー ガツンと辛旨だれ 2.1kg,4,0,0.41%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
