（親）ASIN,タイトル,セッション数 - 合計,セッション数 - 合計 - B2B,セッション率 - 合計,セッション率 - 合計 - B2B,おすすめ出品（おすすめ商品）の獲得率,おすすめ出品（おすすめ商品）の獲得率 - B2B,注文された商品点数,注文点数 - B2B,ユニットセッション率,ユニットセッション率 - B2B,注文商品の売上額,注文商品の売上額 - B2B,注文品目総数,注文品目総数 - B2B
B015U3ABVE,GSブラックティー1000ｍｌ　加糖　３本,19,2,1.74%,5.13%,15.00%,100.00%,2,1,10.53%,50.00%,"￥6,280","￥3,140",2,1
B0DSHDG1DB,日本食品 純製ラード 15kg 一斗缶,5,0,0.46%,0.00%,100.00%,0.00%,2,0,40.00%,0.00%,"￥15,960",￥0,2,0
B09GFHK4P9,ダイショー 博多 水炊き スープ はかた地どり使用 3～4人前 750g×5袋,5,0,0.46%,0.00%,66.67%,0.00%,1,0,20.00%,0.00%,"￥1,800",￥0,1,0
B0CGDJ7TLT,鎌田醤油 だし醤油 500ml 2本,9,0,0.82%,0.00%,53.85%,0.00%,1,0,11.11%,0.00%,"￥1,800",￥0,1,0
B0DPLQR647,ダイショー 厨房王 ハニーマスタードソース,1,0,0.09%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,"￥1,500",￥0,1,0
B0DQS9LHN2,ヘット 牛脂 15kg 日本食品 一斗缶 業務用 国産牛100%,10,1,0.91%,2.56%,100.00%,0.00%,1,0,10.00%,0.00%,"￥7,500",￥0,1,0
B0GJ4M1LYV,GS ランチスープ 1kg ×10袋入 (1BOX),1,0,0.09%,0.00%,100.00%,0.00%,1,0,100.00%,0.00%,"￥3,000",￥0,1,0
B002QEL0AW,かどや製油 銀印（濃口） 純正ごま油 1650g 業務用 大容量,65,2,5.94%,5.13%,4.44%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B002XCR0C4,創味 シャンタン 1kg,3,0,0.27%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0033VCFXI,ハイミー 1KG,20,1,1.83%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q45TMG,業務用　ニイタカ　薬用ハンドソープ　５ｋｇ,2,1,0.18%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003Q4BC1I,ジェリフ ゼリエース ゼラチンパウダー緑 1kg,61,1,5.58%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B003WJM2WA,業務用 ブリーチS 5.5kg,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004KJZOL2,ジェリフ ゼリエース ゼラチンパウダー緑 450g,29,0,2.65%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B004MDWGMQ,雪印メグミルク 北海道コンデンスミルク(大容量) 480g,25,2,2.29%,5.13%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0054NT4QE,スプーン印 グラニュ糖 1kg×20袋,4,0,0.37%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0058QIAP8,ダイショー ガツンと辛旨だれ 2.1kg,5,0,0.46%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0058QIIKU,ダイショー 新カラフルトッピングスパイスNT 500g,3,0,0.27%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B005WFNT4C,カゴメ トマトペースト 850g 業務用 大容量 レストラン用,13,0,1.19%,0.00%,7.14%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0076JRLWS,理研農産化工 大豆白絞油 16.5kg 缶,5,0,0.46%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0076JROJ8,理研 キャノーラサラダ油 16.5kg 缶,42,5,3.84%,12.82%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B009QTHNWO,カップ印 粉糖 1kg,47,1,4.30%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00BITVE34,味の素 S 20kg,3,1,0.27%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00H48UCU4,ジーエスフード ランチスープ (若布入) 250g缶,5,0,0.46%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00I0300FO,ダイショー 厨房王 チキンバーのたれ 2.1kg,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00IJ2CZI6,ジーエスフード　ねりからし（マスタード）　330g,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00Z537NPW,ニイタカ ニューケミクール4kg 1ケース(4本),2,0,0.18%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B00Z53CXWK,ニイタカ 油固化剤 カタマール500g×10袋(ケース),1,0,0.09%,0.00%,50.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B014SEEAFY,ジーエスフード ストロベリーフルーツソース,31,5,2.83%,12.82%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B019I0592Q,讃岐物産 うどん県のうどん 300g×5袋,20,1,1.83%,2.56%,5.56%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01GZSG6OY,Ｃｈａｉ　マサラチャイベース（500ｍｌ）,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01HZ545VM,ダイショー 業務用 カツレツスパイス 香味野菜ミックス 1kg,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01JDBD9UY,雪印メグミルク 北海道コンデンスミルク 業務用 480g x2本,18,0,1.65%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B01N18DG7D,雪印メグミルク【業務用】北海道コンデンスミルク 480g,9,0,0.82%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B072544YFH,かどや 銀印ごま油 濃口 1650g x 2本,1,0,0.09%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0787VZ6JJ,ジーエスフード GS ブラックティーL 加糖 1000ml紙パック×12本入,3,0,0.27%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0793M7RCS,ダイショー 厨房王 にんにく醤油だれ 200g×5個,1,0,0.09%,0.00%,100.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07DYQYJBW,ジーエスフード 拉麺胡椒 (ラーメンコショー) 90g×2本セット,12,0,1.10%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B07XBQZCXZ,ダイショー CoCo壱番屋監修 チーズカレー鍋スープ 750g×10袋入,2,0,0.18%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B0827MHSFQ,ダイショー CoCo壱番屋監修 カレー鍋スープ 750g×2袋入 カレー CoCo壱 簡単 鍋 スープ,4,0,0.37%,0.00%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
B082JZ7HD7,昭和産業 キャノーラ 油 業務用 16.5kg 一斗缶,3,1,0.27%,2.56%,0.00%,0.00%,0,0,0.00%,0.00%,￥0,￥0,0,0
