事業部,予算項目,月次総予算,消化済金額,残予算,消化率(%)
EC,仕入れ費用,0,0,0,0
EC,広告宣伝費,0,0,0,0
SNS,コンテンツ制作費,0,0,0,0
アプリ,サーバー・インフラ費,0,0,0,0
アプリ,外部委託費,0,0,0,0
NOTE,記事執筆外注費,0,0,0,0
全社,共通システム利用料,0,0,0,0
